report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
2023-12-31,2160.0,"FIRST NATIONAL BANK OF WAYNESBORO, THE",172316.0,2771.0,47517.0
2023-12-31,17612.0,CENTRAL BANK,998820.0,10293.0,28222.0
2023-12-31,11904.0,"FIRST STATE BANK OF BEN WHEELER, TEXAS",163705.0,3025.0,0.0
2023-12-31,6863.0,POWELL VALLEY NATIONAL BANK,445524.0,4859.0,69595.0
2023-12-31,8243.0,BANK OF ANGUILLA,178781.0,1423.0,22556.0
2023-12-31,3639.0,FIRST NATIONAL BANK AND TRUST COMPANY,387173.0,8608.0,3844.0
2023-12-31,21693.0,LAKESIDE BANK,261276.0,1129.0,151696.0
2023-12-31,28894.0,SECURITY FEDERAL SAVINGS BANK,322737.0,2516.0,19311.0
2023-12-31,1027.0,FARMERS BANK AND TRUST COMPANY,352775.0,4608.0,34867.0
2023-12-31,21714.0,PREMIER BANK,895143.0,2748.0,44060.0
2023-12-31,31723.0,"HOME SAVINGS BANK, FSB",19062.0,463.0,6989.0
2023-12-31,10075.0,PEOPLES STATE BANK OF COLFAX,33793.0,896.0,6948.0
2023-12-31,15545.0,FRONTIER BANK,1009302.0,3443.0,14195.0
2023-12-31,22081.0,MAGNOLIA STATE BANK,388824.0,9430.0,773.0
2023-12-31,131.0,SEACOAST NATIONAL BANK,11781563.0,167511.0,268656.0
2023-12-31,14695.0,MA BANK,316277.0,3294.0,16540.0
2023-12-31,13083.0,FIRST WESTERN BANK,560262.0,9490.0,13877.0
2023-12-31,1946.0,ALLIANT BANK,182841.0,5301.0,12256.0
2023-12-31,14.0,STATE STREET BANK AND TRUST COMPANY,158902000.0,,
2023-12-31,11235.0,BONDUEL STATE BANK,91662.0,9339.0,3990.0
2023-12-31,30313.0,EAST WISCONSIN SAVINGS BANK,231540.0,1579.0,4527.0
2023-12-31,15907.0,COMMUNITY FIRST BANK,107614.0,6251.0,2893.0
2023-12-31,19163.0,FIRST STATE BANK,373609.0,13507.0,3678.0
2023-12-31,13030.0,OAKWOOD BANK,99926.0,706.0,12800.0
2023-12-31,21085.0,BANK OF ONTARIO,64782.0,1937.0,0.0
2023-12-31,172.0,UNITED BANK,1998461.0,52480.0,637918.0
2023-12-31,17393.0,GERMAN AMERICAN BANK,5321683.0,78801.0,36992.0
2023-12-31,12758.0,"FARMERS STATE BANK, ALLEN, OKLAHOMA",43813.0,2407.0,0.0
2023-12-31,11711.0,BANK OF RANTOUL,200004.0,2274.0,7831.0
2023-12-31,13112.0,OWEN COUNTY STATE BANK,290073.0,3564.0,11267.0
2023-12-31,5874.0,"CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND",743314.0,8646.0,31682.0
2023-12-31,4032.0,NBC OKLAHOMA,812624.0,12162.0,90558.0
2023-12-31,11817.0,RICHTON BANK & TRUST COMPANY,45327.0,1411.0,4115.0
2023-12-31,59070.0,HARBORONE BANK,4430640.0,42080.0,188842.0
2023-12-31,10980.0,ESB BANK,137090.0,2896.0,10414.0
2023-12-31,12283.0,FIRST STATE BANK,123146.0,4773.0,8392.0
2023-12-31,6913.0,PIONEER BANK,265846.0,3462.0,18958.0
2023-12-31,14017.0,MIDDLETOWN VALLEY BANK,880118.0,4817.0,11847.0
2023-12-31,70.0,PEOPLES EXCHANGE BANK,88402.0,531.0,7016.0
2023-12-31,3110.0,"COMMERCIAL NATIONAL BANK OF BRADY, THE",258151.0,8507.0,11776.0
2023-12-31,30315.0,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,358238.0,1124.0,17734.0
2023-12-31,7468.0,FIRST COMMONWEALTH BANK,9248669.0,125368.0,15840.0
2023-12-31,3887.0,FIRST NATIONAL BANK,2000957.0,12676.0,130452.0
2023-12-31,12246.0,COMMERCIAL BANK,58288.0,1026.0,0.0
2023-12-31,9036.0,SECURITY STATE BANK,95338.0,5464.0,5015.0
2023-12-31,17685.0,OUTDOOR BANK,532436.0,94064.0,85294.0
2023-12-31,5141.0,"MINERS NATIONAL BANK OF EVELETH, THE",83010.0,2471.0,5375.0
2023-12-31,18155.0,BRIDGE CITY STATE BANK,198427.0,3629.0,19023.0
2023-12-31,4364.0,"FIRST NATIONAL BANK OF MONTEREY, THE",344905.0,1448.0,14228.0
2023-12-31,25258.0,"INTERCREDIT BANK, NATIONAL ASSOCIATION",497279.0,1640.0,25694.0
2023-12-31,9647.0,CITIZENS BANK,588860.0,3796.0,21616.0
2023-12-31,16126.0,CITIZENS BANK OF THE MIDWEST,169757.0,2204.0,1137.0
2023-12-31,6637.0,"FIRST NATIONAL BANK OF MCCONNELSVILLE, THE",169211.0,4938.0,12322.0
